Resnet	0.016296 	 0.095340 	 0.111635
Resnet	0.100667 	 0.095170 	 0.195837
Alexnet	0.021313 	 0.167497 	 0.188810
Resnet	0.033404 	 0.172324 	 0.205729
Alexnet	0.029620 	 0.172035 	 0.201656
Vgg16	0.000000 	 1.192138 	 1.192138
Alexnet	0.000916 	 1.212641 	 1.213556
Resnet	0.043922 	 1.352198 	 1.396120
Alexnet	3.375760 	 0.181916 	 3.557676
Resnet	3.452480 	 0.246229 	 3.698708
Resnet	3.538674 	 0.095142 	 3.633816
Resnet	3.554197 	 1.144175 	 4.698372
Alexnet	3.393525 	 1.173418 	 4.566943
Vgg16	3.474156 	 1.272249 	 4.746406
Alexnet	4.021738 	 0.205899 	 4.227638
Vgg16	4.039308 	 1.227962 	 5.267270
Resnet	4.072675 	 1.368559 	 5.441234
Alexnet	9.601492 	 1.043695 	 10.645187
Vgg16	9.761508 	 1.217816 	 10.979323
Resnet	9.681770 	 1.263569 	 10.945339
Vgg16	10.738421 	 1.123238 	 11.861660
Alexnet	10.624789 	 1.897818 	 12.522606
Vgg16	11.621098 	 1.260375 	 12.881474
Alexnet	12.363265 	 0.503151 	 12.866416
Resnet	10.704810 	 2.429889 	 13.134700
Alexnet	12.787403 	 0.104974 	 12.892377
Vgg16	11.042472 	 1.224532 	 12.267004
Resnet	12.733920 	 1.266645 	 14.000565
Resnet	12.229871 	 0.095663 	 12.325534
Alexnet	11.989025 	 1.117929 	 13.106954
Vgg16	12.069488 	 1.249259 	 13.318747
Alexnet	13.078791 	 1.054351 	 14.133142
Vgg16	13.158722 	 1.221252 	 14.379974
Alexnet	13.167464 	 0.244772 	 13.412236
Resnet	13.253264 	 0.173244 	 13.426508
Alexnet	13.252235 	 1.096776 	 14.349011
Vgg16	7.468930 	 1.278982 	 8.747912
Resnet	7.483043 	 1.256991 	 8.740034
Vgg16	8.587952 	 1.152186 	 9.740138
Alexnet	7.541067 	 1.225178 	 8.766245
Alexnet	8.686766 	 0.080032 	 8.766798
Resnet	8.606651 	 0.174642 	 8.781293
Resnet	12.353942 	 0.162349 	 12.516292
Alexnet	11.233366 	 0.177222 	 11.410588
Resnet	11.714745 	 0.178853 	 11.893598
Alexnet	11.330811 	 0.080387 	 11.411197
Vgg16	11.251363 	 1.225145 	 12.476508
Resnet	10.046212 	 1.271205 	 11.317418
Alexnet	16.898132 	 0.155649 	 17.053781
Alexnet	16.981758 	 0.083395 	 17.065153
Resnet	1.555868 	 0.164368 	 1.720236
Resnet	0.107625 	 0.098797 	 0.206423
Alexnet	0.027648 	 0.165354 	 0.193002
Resnet	0.045864 	 0.173848 	 0.219712
Alexnet	0.045310 	 0.175215 	 0.220525
Vgg16	0.000535 	 1.205549 	 1.206084
Alexnet	0.001047 	 1.229934 	 1.230981
Resnet	0.061343 	 1.349468 	 1.410811
Alexnet	1.094703 	 0.135747 	 1.230449
Resnet	1.174794 	 0.182744 	 1.357538
Resnet	1.197814 	 0.096498 	 1.294312
Resnet	1.214931 	 0.497766 	 1.712698
Alexnet	1.055223 	 1.133940 	 2.189163
Vgg16	1.134985 	 1.283932 	 2.418917
Resnet	1.473315 	 0.858476 	 2.331791
Alexnet	5.997609 	 1.083611 	 7.081219
Vgg16	5.918154 	 1.239007 	 7.157161
Alexnet	13.160760 	 1.108558 	 14.269318
Vgg16	13.316905 	 1.288115 	 14.605021
Resnet	13.240494 	 1.334018 	 14.574512
Vgg16	14.369142 	 1.122631 	 15.491774
Alexnet	14.254467 	 1.199134 	 15.453600
Vgg16	15.251236 	 1.282866 	 16.534102
Alexnet	15.293494 	 1.208123 	 16.501617
Resnet	14.335187 	 2.422026 	 16.757214
Alexnet	16.421852 	 0.091712 	 16.513565
Vgg16	16.274267 	 1.213978 	 17.488245
Resnet	16.354671 	 1.260849 	 17.615520
Alexnet	19.576639 	 1.127311 	 20.703950
Vgg16	19.656699 	 1.306292 	 20.962992
Resnet	19.736846 	 1.348342 	 21.085189
Alexnet	20.723359 	 1.031184 	 21.754543
Vgg16	20.803376 	 1.188323 	 21.991700
Alexnet	21.675598 	 0.278361 	 21.953959
Resnet	17.130384 	 0.336377 	 17.466761
Alexnet	17.328807 	 1.052835 	 18.381642
Vgg16	9.851165 	 1.239068 	 11.090232
Resnet	9.828998 	 1.253130 	 11.082128
Alexnet	13.418316 	 1.080358 	 14.498674
Vgg16	14.543342 	 1.212155 	 15.755497
Alexnet	20.592568 	 0.175961 	 20.768529
Resnet	20.513252 	 0.238712 	 20.751964
Resnet	19.788552 	 0.101209 	 19.889762
Alexnet	18.603959 	 0.175874 	 18.779833
Resnet	19.810143 	 0.177071 	 19.987214
Alexnet	18.701415 	 0.080478 	 18.781893
Vgg16	18.621631 	 1.261386 	 19.883018
Alexnet	15.174185 	 1.232167 	 16.406352
Resnet	15.174547 	 1.351357 	 16.525904
Alexnet	16.326949 	 0.117717 	 16.444665
Resnet	0.005496 	 0.094888 	 0.100384
Resnet	0.019203 	 0.094552 	 0.113755
Alexnet	0.000954 	 0.112281 	 0.113235
Resnet	0.004193 	 0.121294 	 0.125487
Alexnet	0.001283 	 0.122878 	 0.124161
Resnet	0.001040 	 0.137029 	 0.138069
Vgg16	0.000000 	 1.127232 	 1.127232
Resnet	0.000000 	 7.564184 	 7.564184
Alexnet	0.000000 	 7.644263 	 7.644263
Resnet	7.405845 	 5.125466 	 12.531311
Alexnet	7.485230 	 5.127151 	 12.612382
Alexnet	12.295209 	 1.231472 	 13.526681
Vgg16	12.375198 	 1.241213 	 13.616411
Resnet	12.454324 	 1.255133 	 13.709457
Alexnet	13.392062 	 0.574670 	 13.966732
Vgg16	13.312973 	 1.246506 	 14.559479
Resnet	13.471753 	 1.248593 	 14.720346
Vgg16	14.480180 	 1.069824 	 15.550004
Alexnet	14.320992 	 1.345874 	 15.666866
Vgg16	15.311048 	 1.228162 	 16.539210
Resnet	14.400861 	 2.326751 	 16.727612
Resnet	16.487707 	 0.287271 	 16.774978
Alexnet	16.408328 	 0.813927 	 17.222255
Vgg16	16.328454 	 1.244713 	 17.573167
Alexnet	18.847769 	 0.080187 	 18.927956
Alexnet	18.849196 	 0.079765 	 18.928961
Vgg16	18.689072 	 1.220144 	 19.909216
Resnet	18.769493 	 1.258685 	 20.028178
Alexnet	8.626370 	 1.162961 	 9.789331
Vgg16	8.706184 	 1.248116 	 9.954301
Resnet	8.785710 	 1.249791 	 10.035501
Vgg16	9.795294 	 1.067003 	 10.862297
Alexnet	9.717405 	 1.145601 	 10.863006
Alexnet	9.896774 	 0.079634 	 9.976408
Resnet	9.816606 	 0.173638 	 9.990244
Alexnet	9.816353 	 1.095628 	 10.911981
Vgg16	8.692214 	 1.286881 	 9.979095
Resnet	8.705580 	 1.254891 	 9.960471
Alexnet	11.152643 	 0.358994 	 11.511637
Vgg16	12.035540 	 1.281281 	 13.316822
Alexnet	10.226487 	 1.039504 	 11.265992
Resnet	10.146475 	 1.100020 	 11.246494
Resnet	11.167461 	 0.095006 	 11.262467
Alexnet	8.769339 	 0.154207 	 8.923546
Resnet	8.849014 	 0.176582 	 9.025596
Alexnet	8.843533 	 1.014890 	 9.858423
Vgg16	8.763671 	 1.206225 	 9.969897
Resnet	7.658572 	 1.251742 	 8.910314
Alexnet	13.211251 	 0.162102 	 13.373353
Alexnet	13.296070 	 0.082196 	 13.378266
Resnet	0.811007 	 0.094946 	 0.905954
Resnet	0.018664 	 0.094672 	 0.113337
Alexnet	0.003734 	 0.109190 	 0.112924
Resnet	0.001073 	 0.125525 	 0.126597
Alexnet	0.001439 	 0.123972 	 0.125411
Resnet	0.001328 	 0.138745 	 0.140072
Vgg16	0.001261 	 1.126384 	 1.127645
Alexnet	0.001013 	 1.167166 	 1.168179
Resnet	0.000901 	 1.147905 	 1.148806
Alexnet	1.009080 	 0.138391 	 1.147472
Resnet	0.989161 	 0.172717 	 1.161878
Alexnet	0.923036 	 1.169931 	 2.092966
Resnet	1.082964 	 1.249680 	 2.332645
Vgg16	1.003397 	 1.249797 	 2.253193
Alexnet	6.332060 	 1.066355 	 7.398415
Vgg16	6.252280 	 1.240899 	 7.493180
Resnet	6.410204 	 1.289945 	 7.700149
Alexnet	13.312743 	 1.159148 	 14.471891
Vgg16	13.472696 	 1.308962 	 14.781658
Resnet	13.393019 	 1.354137 	 14.747156
Vgg16	14.541323 	 1.115906 	 15.657230
Alexnet	14.427581 	 1.884230 	 16.311811
Vgg16	15.417494 	 1.224981 	 16.642475
Alexnet	16.153344 	 0.512189 	 16.665534
Resnet	14.507238 	 2.417250 	 16.924488
Alexnet	16.586040 	 0.097552 	 16.683592
Vgg16	16.445225 	 1.212380 	 17.657605
Resnet	16.525460 	 1.259684 	 17.785144
Resnet	17.625403 	 0.101429 	 17.726831
Alexnet	17.465666 	 1.112754 	 18.578420
Vgg16	17.545561 	 1.244716 	 18.790277
Resnet	1.557986 	 0.155424 	 1.713409
Resnet	0.138692 	 0.097487 	 0.236180
Alexnet	0.059561 	 0.172487 	 0.232048
Resnet	0.067816 	 0.170347 	 0.238163
Alexnet	6.993868 	 1.107955 	 8.101823
Vgg16	6.834756 	 1.311937 	 8.146693
Alexnet	7.862301 	 0.269104 	 8.131405
Resnet	6.914533 	 1.409517 	 8.324049
Resnet	8.083259 	 0.119311 	 8.202570
Alexnet	8.002955 	 0.173798 	 8.176754
Resnet	8.041967 	 0.148573 	 8.190540
Resnet	8.111591 	 1.133397 	 9.244988
Alexnet	7.951395 	 1.172974 	 9.124369
Vgg16	8.031544 	 1.263132 	 9.294676
Alexnet	8.963709 	 0.204777 	 9.168486
Vgg16	8.973006 	 1.230900 	 10.203906
Resnet	9.004774 	 1.379120 	 10.383893
Vgg16	10.125380 	 1.091872 	 11.217252
Alexnet	9.983134 	 1.195457 	 11.178592
Resnet	10.063657 	 1.254034 	 11.317691
Alexnet	12.792764 	 1.146484 	 13.939248
Vgg16	12.949688 	 1.329429 	 14.279118
Resnet	12.872115 	 1.368750 	 14.240865
Alexnet	8.420859 	 1.035388 	 9.456247
Vgg16	8.501124 	 1.192891 	 9.694015
Alexnet	9.377322 	 0.282351 	 9.659672
Vgg16	8.325548 	 1.237815 	 9.563363
Resnet	8.491337 	 1.421226 	 9.912562
Resnet	13.023409 	 0.094744 	 13.118154
Alexnet	12.865548 	 1.112457 	 13.978006
Vgg16	12.944209 	 1.244283 	 14.188493
Resnet	0.171946 	 0.095034 	 0.266980
Resnet	0.064690 	 0.094799 	 0.159489
Alexnet	0.014076 	 0.107507 	 0.121583
Resnet	0.029531 	 0.171580 	 0.201111
Alexnet	0.026288 	 0.171642 	 0.197930
Vgg16	0.000471 	 1.187527 	 1.187998
Alexnet	0.000716 	 1.210265 	 1.210981
Resnet	0.039787 	 1.322963 	 1.362750
Resnet	1.150239 	 0.100716 	 1.250956
Alexnet	1.070474 	 0.173256 	 1.243730
Resnet	1.091922 	 0.165841 	 1.257763
Resnet	1.178627 	 0.094693 	 1.273320
Alexnet	1.018488 	 1.148877 	 2.167365
Vgg16	1.098790 	 1.274240 	 2.373029
Alexnet	2.007822 	 0.237663 	 2.245485
Vgg16	2.052639 	 1.232478 	 3.285117
Resnet	1.033573 	 2.419475 	 3.453048
Vgg16	3.206239 	 1.084127 	 4.290367
Alexnet	3.051504 	 1.205186 	 4.256690
Vgg16	4.050273 	 1.250640 	 5.300913
Resnet	3.131226 	 2.343066 	 5.474291
Alexnet	5.154125 	 0.174199 	 5.328324
Resnet	5.234344 	 0.329217 	 5.563562
Alexnet	5.167717 	 1.053255 	 6.220972
Vgg16	5.073667 	 1.333070 	 6.406737
Alexnet	6.141674 	 0.867782 	 7.009457
Vgg16	6.086177 	 1.233060 	 7.319237
Resnet	6.061838 	 1.375597 	 7.437435
Resnet	7.277493 	 0.094799 	 7.372292
Alexnet	7.117845 	 1.118771 	 8.236616
Vgg16	7.197860 	 1.251198 	 8.449058
Vgg16	8.289031 	 1.075905 	 9.364936
Alexnet	8.208416 	 1.154888 	 9.363304
Alexnet	9.284727 	 0.079483 	 9.364210
Resnet	8.722260 	 0.173827 	 8.896088
Alexnet	8.641121 	 1.128842 	 9.769963
Vgg16	7.435087 	 1.308845 	 8.743932
Resnet	7.448663 	 1.265701 	 8.714364
Alexnet	7.618514 	 1.127316 	 8.745830
Vgg16	8.583985 	 1.206062 	 9.790047
Alexnet	7.460957 	 0.204527 	 7.665484
Resnet	7.380712 	 0.256737 	 7.637450
Resnet	7.557546 	 0.094657 	 7.652203
Resnet	7.572726 	 0.094515 	 7.667242
Alexnet	6.610210 	 0.173554 	 6.783764
Alexnet	6.704395 	 0.079483 	 6.783878
Vgg16	6.624480 	 1.229824 	 7.854304
Alexnet	5.417163 	 1.262551 	 6.679715
Resnet	5.417710 	 1.348919 	 6.766629
Alexnet	6.600301 	 0.084079 	 6.684380
Resnet	0.006886 	 0.095132 	 0.102018
Resnet	0.023898 	 0.095579 	 0.119477
Alexnet	0.000000 	 0.116791 	 0.116791
Resnet	0.003477 	 0.127909 	 0.131387
Alexnet	0.001370 	 0.126755 	 0.128125
Resnet	0.002997 	 0.142308 	 0.145305
Vgg16	0.002268 	 1.132204 	 1.134472
Alexnet	0.001960 	 1.158147 	 1.160108
Resnet	0.001660 	 1.150036 	 1.151696
Alexnet	1.009216 	 0.140823 	 1.150038
Resnet	3.304508 	 0.095141 	 3.399649
Alexnet	3.163351 	 1.143483 	 4.306834
Resnet	3.322848 	 1.251001 	 4.573850
Vgg16	3.243194 	 1.250717 	 4.493911
Resnet	4.335475 	 0.095111 	 4.430586
Vgg16	4.177908 	 1.191308 	 5.369217
Alexnet	4.257275 	 1.241153 	 5.498427
Alexnet	5.178701 	 4.849095 	 10.027796
Vgg16	5.291529 	 5.100383 	 10.391912
Resnet	5.212941 	 5.138766 	 10.351708
Alexnet	17.000604 	 1.158436 	 18.159039
Vgg16	17.154204 	 1.312318 	 18.466522
Resnet	17.079097 	 1.353876 	 18.432973
Alexnet	18.150929 	 1.034192 	 19.185121
Vgg16	18.230386 	 1.192703 	 19.423090
Alexnet	19.106942 	 0.429199 	 19.536140
Vgg16	19.103306 	 1.233956 	 20.337262
Resnet	19.027973 	 1.416680 	 20.444653
Resnet	20.285506 	 0.095110 	 20.380616
Alexnet	18.268210 	 1.085241 	 19.353450
Vgg16	18.428832 	 1.242294 	 19.671126
Alexnet	21.783790 	 1.138352 	 22.922143
Vgg16	21.860690 	 1.222325 	 23.083015
Alexnet	21.879128 	 0.196669 	 22.075797
Resnet	21.799317 	 0.257942 	 22.057259
Alexnet	21.917052 	 1.055060 	 22.972112
Vgg16	20.870769 	 1.247116 	 22.117886
Resnet	20.851581 	 1.252584 	 22.104164
