Resnet18	0.025171 	 0.095793
Resnet18	0.025137 	 0.095242
Alexnet	0.043618 	 0.080176
Resnet18	0.047659 	 0.095432
Alexnet	0.067069 	 0.080278
Resnet18	0.072733 	 0.095342
Vgg16	0.094219 	 1.071269
Alexnet	1.090994 	 0.079947
Resnet18	1.095843 	 0.095577
Alexnet	1.115126 	 0.080192
Resnet18	1.120438 	 0.095598
Resnet18	1.140015 	 0.095571
Vgg16	1.160440 	 1.069307
Alexnet	2.154697 	 0.080431
Resnet18	2.159662 	 0.095382
Alexnet	2.179110 	 0.080067
Vgg16	2.183271 	 1.067296
Vgg16	3.175409 	 1.066503
Resnet18	4.165134 	 0.095299
Alexnet	4.183688 	 0.080105
Vgg16	4.188355 	 1.067087
Resnet18	5.178867 	 0.095205
Alexnet	5.197602 	 0.080123
Vgg16	5.202293 	 1.066821
Alexnet	6.193965 	 0.079937
Alexnet	6.199259 	 0.080325
Resnet18	6.203489 	 0.095171
Vgg16	6.222826 	 1.066508
Resnet18	7.214916 	 0.095987
Vgg16	7.235303 	 1.068757
Alexnet	8.229348 	 0.080276
Vgg16	8.233036 	 1.066609
Alexnet	8.579378 	 0.080125
Alexnet	8.583224 	 0.080313
Resnet18	8.507494 	 0.095360
Alexnet	8.526886 	 0.079886
Vgg16	7.565596 	 1.067044
Resnet18	7.593650 	 0.095375
Vgg16	7.533545 	 1.067039
Alexnet	8.526143 	 0.079888
Alexnet	7.564927 	 0.079753
Resnet18	7.568172 	 0.095173
Resnet18	7.587280 	 0.095169
Resnet18	6.639683 	 0.095210
Alexnet	6.576978 	 0.080167
Alexnet	6.581419 	 0.080120
Vgg16	6.588318 	 1.070854
Resnet18	6.617646 	 0.095254
Alexnet	6.639272 	 0.080061
Alexnet	5.596985 	 0.079948
Alexnet	5.600634 	 0.080134
Vgg16	4.639426 	 1.069817
Resnet18	5.636054 	 0.095576
Vgg16	5.656545 	 1.070116
Alexnet	6.571367 	 0.080259
Vgg16	6.575634 	 1.070397
Alexnet	6.606691 	 0.080073
Vgg16	6.612458 	 1.071482
Alexnet	6.643485 	 0.080277
Alexnet	6.569151 	 0.079995
Vgg16	6.572630 	 1.070385
Vgg16	7.566366 	 1.070176
Vgg16	8.565288 	 1.067070
Alexnet	9.557715 	 0.080123
Resnet18	9.562216 	 0.095385
Resnet18	9.581529 	 0.095153
Alexnet	8.556316 	 0.079769
Alexnet	8.560278 	 0.080037
Alexnet	8.563913 	 0.080233
Vgg16	8.568219 	 1.070892
Vgg16	9.564168 	 1.071850
Resnet18	9.516837 	 0.095237
Resnet18	9.535464 	 0.095582
Vgg16	8.593298 	 1.069370
Resnet18	9.587196 	 0.095242
Alexnet	8.561026 	 0.080600
Resnet18	8.564764 	 0.095123
Vgg16	7.619063 	 1.069650
Resnet18	8.613608 	 0.095259
Resnet18	8.633564 	 0.095854
Vgg16	7.609726 	 1.070392
Vgg16	7.641169 	 1.070683
Vgg16	7.672695 	 1.069509
Alexnet	8.667065 	 0.080413
Alexnet	8.591226 	 0.079774
Alexnet	8.594676 	 0.080788
Vgg16	8.599606 	 1.070511
Alexnet	9.595888 	 0.079978
Resnet18	9.600491 	 0.095736
Alexnet	8.655906 	 0.080019
Resnet18	7.615441 	 0.095639
Resnet18	7.635158 	 0.095610
Resnet18	7.655362 	 0.095873
Vgg16	6.631431 	 1.070478
Resnet18	7.626310 	 0.096052
Vgg16	7.647534 	 1.070302
Vgg16	8.642067 	 1.069388
Alexnet	8.591044 	 0.080250
Alexnet	8.595766 	 0.080298
Resnet18	8.599076 	 0.095291
