Resnet	0.036583 	 0.094205 	 0.130788
Resnet	0.082319 	 0.094260 	 0.176579
Alexnet	0.002450 	 0.194242 	 0.196693
Resnet	0.001119 	 0.116473 	 0.117592
Alexnet	0.076406 	 0.089628 	 0.166035
Alexnet	0.012519 	 1.154701 	 1.167219
Resnet	0.009653 	 1.341365 	 1.351018
Resnet	1.100708 	 0.100399 	 1.201107
Alexnet	1.020336 	 0.173056 	 1.193393
Resnet	1.040916 	 0.165803 	 1.206719
Resnet	1.127349 	 1.007033 	 2.134382
Alexnet	0.967077 	 1.273775 	 2.240852
Resnet	1.893803 	 0.332308 	 2.226110
Alexnet	2.080114 	 1.057523 	 3.137637
Alexnet	2.972819 	 1.195655 	 4.168474
Resnet	3.053275 	 2.322505 	 5.375780
Resnet	5.135314 	 0.094229 	 5.229542
Alexnet	5.055586 	 1.163409 	 6.218995
Alexnet	6.060138 	 0.156585 	 6.216722
Alexnet	6.137388 	 0.079592 	 6.216979
Resnet	6.058080 	 1.260086 	 7.318166
Resnet	7.158607 	 0.100906 	 7.259513
Alexnet	6.998536 	 1.164281 	 8.162817
Alexnet	8.082094 	 1.147275 	 9.229369
Alexnet	8.747963 	 0.079623 	 8.827585
Resnet	8.507916 	 0.172741 	 8.680658
Alexnet	8.507211 	 1.130312 	 9.637523
Resnet	7.395596 	 1.256770 	 8.652367
Alexnet	7.559504 	 1.197645 	 8.757149
Alexnet	7.552354 	 0.079806 	 7.632160
Resnet	7.472444 	 0.173485 	 7.645929
Resnet	7.566356 	 0.094371 	 7.660727
Resnet	6.618126 	 0.159740 	 6.777866
Alexnet	6.458451 	 0.173117 	 6.631568
Alexnet	6.552020 	 0.079402 	 6.631422
Alexnet	5.347188 	 1.225275 	 6.572463
Resnet	5.348015 	 1.344119 	 6.692134
Alexnet	6.492957 	 0.117397 	 6.610354
Alexnet	5.565433 	 0.079566 	 5.644998
Resnet	4.439038 	 1.259942 	 5.698980
Alexnet	5.498019 	 1.109680 	 6.607699
Alexnet	6.527759 	 1.146735 	 7.674494
Alexnet	6.469794 	 1.145302 	 7.615096
Alexnet	6.571653 	 0.079370 	 6.651023
Alexnet	8.389033 	 1.189841 	 9.578875
Resnet	8.308598 	 1.249922 	 9.558520
Resnet	9.478403 	 0.094017 	 9.572421
Alexnet	9.398422 	 0.172922 	 9.571344
Alexnet	9.491620 	 0.079519 	 9.571139
Alexnet	8.524275 	 0.079370 	 8.603646
Resnet	9.350709 	 1.161916 	 10.512626
Resnet	9.468884 	 0.094199 	 9.563082
Alexnet	8.278825 	 1.202302 	 9.481126
Resnet	8.358940 	 1.248889 	 9.607829
Resnet	8.564004 	 0.094085 	 8.658088
Resnet	7.452412 	 1.161186 	 8.613598
Resnet	8.534501 	 0.094038 	 8.628539
Alexnet	8.435141 	 1.146218 	 9.581359
Alexnet	8.537304 	 0.079450 	 8.616754
Alexnet	8.537012 	 0.079423 	 8.616436
Alexnet	8.376680 	 1.198838 	 9.575517
Resnet	8.296622 	 1.250306 	 9.546927
Alexnet	8.451601 	 0.129993 	 8.581594
Resnet	8.423007 	 0.172515 	 8.595522
Resnet	7.551804 	 0.094066 	 7.645870
Resnet	7.566648 	 0.094329 	 7.660978
Resnet	7.499716 	 1.161085 	 8.660800
Alexnet	8.444710 	 1.146979 	 9.591690
Alexnet	8.468151 	 0.079477 	 8.547628
Resnet	8.388213 	 0.172932 	 8.561145
Alexnet	7.422029 	 0.172126 	 7.594155
